How to access Paradigm Online University,"Follow the following document on how to access Paradigm Online University (POU):

\\rbivwinpdfs01.rokan.local\Share\CIFS\PHR\rumbai\data\documentation\EPOS\NEW_TRN\02_MODULE - 2.1 GUIDELINE TO PARADIGM ONLINE UNIVERSITY.pptx"
"I am getting error ""Fatal Error: Cannot create CSS Manager"" when I launch Epos","Please close all Epos application and DON'T save your session.
Then relaunch session manager by command mulai_epos asset_team"
"I am getting error ""PNS host inconsistently resolves"" when I launch Epos",Please contact IT Linux support to update the IP Address at /etc/hosts file on your linux machine
"I am getting error ""Failed to initialize embedded Coordinate Service"" when I launch Epos",Please contact IT Linux support to update the domain name at /etc/hosts file on your linux machine
"I am getting error ""License Number of users already reached""",Please as the IT Epos Support to release and refresh Epos license
Paradigm Online University Username,PHR email
"I am geeting Error ""Please verify the write permission and available disk space at directory""",Please contact IT Linux support to get directory permission
"I am getting error "" SQLite: database or disk is full41' while running StratEarth or SKUA","/Var folder on your workstation is full, Please contact IT Linux support to delete files under /var folder"
"I can't save my Epos Session with error "" Lock: Type: read User: mk.alfian.gumelar Created: 2022/03/14",Delete Locked File under File > Project > Manage Locked > Select lock file then delete
"I am geeting Error ""no markers found for mistie calculation"" while calibrating grid to markers in Basemap",Assign Marker to Horizon in Well Data Manager before calibrate grid to Well Markers
"I am geeting Error "" Severe Error from: Corba Data Server storeWellList error. access denied"" while Importing Directional Survey and Create Well List","no permission to create a new well in proposed well database. Ask the Epos IT to Add Permission to Access, Create/Modify well database"
How to Create Well Circle Drainage Radius in Basemap,Follow the following document on how to Create Well Circle Drainage Radius in Basemap https://collab1.rokan.local/sites/NG/WU/_layouts/15/WopiFrame.aspx?sourcedoc={e5430c8b-69e6-416d-9beb-e6586a12697e}&action=edit&source=https%3A%2F%2Fcollab1%2Erokan%2Elocal%2Fsites%2FNG%2FWU%2FTips%2520and%2520Tricks%2FForms%2FAllItems%2Easpx%3FRootFolder%3D%252Fsites%252FNG%252FWU%252FTips%2520and%2520Tricks%252FFAQ%25202022%26FolderCTID%3D0x01200082EF59A6A9E948478850E86359569857%26View%3D%257BCD869C46%252D929E%252D41A0%252D9991%252D36DD7232FD2A%257D%26InitialTabId%3DRibbon%252ERead%26VisibilityContext%3DWSSTabPersistence
How to delete well section,In Menu Edit ->Turn On Objecs Icon in Display Element-> Select Well Section-> Delete -> Filter on Well Section (https://ptptmn.sharepoint.com/:v:/r/sites/EposRokanOnsites/Shared%20Documents/Video_Tips/How_to_Delete_Well_Section.mp4?csf=1&web=1&e=LaKXp4)
How to remove lock file,In Menu File -> Project ->  Manage Locks -> Select the lock -> Delete lock
Markers were not correlated,Marker needs assigned as a feature (need to do in WDM first before run StratEarth)
How to add perforation tracks,Select Well in Display Elements-> RMB -> Add Track -> Zone and toggle on Perforation track in the well
How to apply template on cross-section,In Display Elements-> Select Well -> RMB -> Style ->  Apply template -> Select Template -> Select Objects (well) -> Apply
How to copy template ,In Display Elements-> Turn on Well Track Templates Tab -> Select the template-> RMB -> Copy
How to delete template,In Display Elements-> Select the template > RMB -> Delete
How to modify marker color,In Display Elements-> Select the well -> RMB -> Edit -> Double Click on Color Table.
How to rename marker name ,In Display Elements-> Select the well -> marker -> RMB -> Rename over related markername
How to save template,In Display Elements-> Select the template-> RMB -> Save to Epos Preference over well
How to save template to Epos Preferences,In Display Elements-> Select the template -> RMB -> Save To Epos Preferences
How to apply style in well header,In Display Elements-> Select Well > RMB -> Style> Style Editor ->  Header -> Select header/imported header
How to display original markerset,In Display Elements-> Select Well > RMB -> Style> Style Editor -> Toggle off show original marker set
How to calculate NTG,"Use Compute -> thickness between 2 markers. Need to specify facies, which should be calculated prior this step"
How to delete marker?,In Display Elements-> Select Well Marker  > RMB on marker name> delete
How to import Template,In Menu File -> Import -> Gocad Resources -> Template
How to rename marker?,In Display Elements-> Select Well Marker ->RMB on marker > rename
How to save marker?,In Display Elements-> RMB on marker > save markers set > select well and stratigraphy context
I can't send traverse from basemap to StratEarth,"Lost connection PNS with error""Fatal Error: Cannot create CSS Manager"". Exit from Session MAnager then relauch Session Manager then reopen session"
How to create constant grid,"Depend on objective, related objective will use Grid, Recommend to use Mathematical Operation for contants grid ( File = Z; )"
How to open Fault outlines,In Menu File -> Open Interpretation > Select the correct Data type -> Fault Outline
How to open interpretation data,In Menu File -> Open Interpretation -> Select the correct Data type -> Grid/Pick -> Select the name and click OK
How to open traverse,In Menu File -> Open Traverse -> Select the traverse name -> Ok
How to extract markers from grid,In Menu Interpretation -> Extract Markers from Grid -> Select grid -> Select Well list -> Select/Create Tops Name-> Set Name  Class -> Ok
How to calibrate grid to wells,In Menu Mapping -> Calibrate Grid to wells -> select Well Marker Two way time (info) > Show Statistic
How to create control points,In Menu Mapping -> Create Control points
How to create grid from control points,In Menu Mapping -> Create Grid ->  Select Source Control point
How to create fault outlines,Can create using manually draw or automatically using 3DC or as result of SKUA model.
